EMP_ID,SALARY_MONTH,GROSS_SALARY,NET_SALARY,BONUS
1001,2023-01,56836,54247,1132
1001,2023-01,71395,68377,4336
1001,2023-03,72524,68210,2863
1002,2023-01,63840,59324,1627
1002,2023-01,56991,54795,3146
1002,2023-03,85906,82803,3187
1003,2023-01,52156,49802,1940
1003,2023-01,89044,84734,1332
1003,2023-03,80388,76309,2355
1004,2023-01,66961,64184,2972
1004,2023-01,56043,51559,3932
1004,2023-03,87932,84204,4878
1005,2023-01,65872,63112,3279
1005,2023-01,60392,56314,4074
1005,2023-03,84523,80990,2966
1006,2023-01,66521,62222,4357
1006,2023-01,57915,53806,4975
1006,2023-03,56490,53963,1070
1007,2023-01,70631,68404,4147
1007,2023-01,79663,76237,3651
1007,2023-03,61698,58508,1697
1008,2023-01,77119,72608,4573
1008,2023-01,72667,69628,3322
1008,2023-03,79620,76279,4139
1009,2023-01,51058,47539,1354
1009,2023-01,86172,83661,4921
1009,2023-03,62664,58880,1946
1010,2023-01,61657,58652,1809
1010,2023-01,88472,84982,4012
1010,2023-03,50104,46702,4907
1011,2023-01,85859,83604,3442
1011,2023-01,56389,54046,3303
1011,2023-03,67333,64749,4257
1012,2023-01,88112,85713,3169
1012,2023-01,61451,58868,1812
1012,2023-03,55624,52201,3428
1013,2023-01,69062,64443,3988
1013,2023-01,79389,75369,1581
1013,2023-03,66770,62522,1056
1014,2023-01,70776,66518,3253
1014,2023-01,70404,65468,3459
1014,2023-03,51898,48677,3150
1015,2023-01,52879,49644,1134
1015,2023-01,52181,49271,2357
1015,2023-03,53559,51468,3152
1016,2023-01,63084,59390,1683
1016,2023-01,61932,59645,1848
1016,2023-03,52448,50041,2035
1017,2023-01,77888,75201,2319
1017,2023-01,89068,84599,4439
1017,2023-03,70540,66521,1560
1018,2023-01,76342,73532,2658
1018,2023-01,64404,61327,3074
1018,2023-03,54419,49687,1141
1019,2023-01,77289,74059,1000
1019,2023-01,85236,82421,1108
1019,2023-03,67505,63835,1771
1020,2023-01,71497,67869,3860
1020,2023-01,72184,70053,1578
1020,2023-03,82264,79536,3405
1021,2023-01,70553,67155,4838
1021,2023-01,78553,74103,4046
1021,2023-03,56422,53508,2670
1022,2023-01,61695,58478,4248
1022,2023-01,83352,79912,4381
1022,2023-03,57649,54680,4737
1023,2023-01,70102,66960,3454
1023,2023-01,53966,49379,2135
1023,2023-03,54666,51534,2012
1024,2023-01,87399,84372,1052
1024,2023-01,81643,77719,3756
1024,2023-03,60161,58131,1325
1025,2023-01,68888,64233,4043
1025,2023-01,68544,65599,2436
1025,2023-03,78418,75385,3958
1026,2023-01,86415,82293,1690
1026,2023-01,80618,78528,2388
1026,2023-03,83733,78932,1060
1027,2023-01,82329,77542,4405
1027,2023-01,55588,51777,1124
1027,2023-03,82980,80932,4915
1028,2023-01,67890,63581,2401
1028,2023-01,66116,62380,4483
1028,2023-03,75256,70457,2754
1029,2023-01,66216,63671,2953
1029,2023-01,70542,66220,2297
1029,2023-03,60574,56223,3275
1030,2023-01,51156,47487,1150
1030,2023-01,64964,62550,2747
1030,2023-03,78495,75500,1964
1031,2023-01,61426,58273,4433
1031,2023-01,54144,51297,4865
1031,2023-03,69969,67715,2150
1032,2023-01,77085,74603,1316
1032,2023-01,81583,77280,4130
1032,2023-03,85397,80827,1240
1033,2023-01,72563,70465,2231
1033,2023-01,60007,56578,2295
1033,2023-03,79604,76174,1292
1034,2023-01,60088,57008,1093
1034,2023-01,78662,74480,3860
1034,2023-03,56009,51025,1802
1035,2023-01,63458,58691,1164
1035,2023-01,81739,77241,3994
1035,2023-03,78660,75906,3235
1036,2023-01,88921,84047,4155
1036,2023-01,62810,59787,1677
1036,2023-03,75067,72196,4847
1037,2023-01,73217,68832,3228
1037,2023-01,86396,82981,1452
1037,2023-03,85605,82441,3598
1038,2023-01,78989,74295,2405
1038,2023-01,72232,68760,1119
1038,2023-03,67474,65240,2312
1039,2023-01,77710,73440,4100
1039,2023-01,86213,83082,3379
1039,2023-03,68780,66202,4264
1040,2023-01,54641,52152,1548
1040,2023-01,58761,56438,1655
1040,2023-03,72580,67600,2561
1041,2023-01,66227,61976,3430
1041,2023-01,87758,83901,4478
1041,2023-03,51167,48993,3519
1042,2023-01,55825,52466,3781
1042,2023-01,76903,73120,3219
1042,2023-03,87299,82924,1555
1043,2023-01,53096,48853,3195
1043,2023-01,58747,55813,4988
1043,2023-03,67054,62190,3350
1044,2023-01,89189,86317,3393
1044,2023-01,60397,55881,3605
1044,2023-03,52377,49075,1598
1045,2023-01,87528,83562,1474
